Site,Species,Plot,Position,Tag_ID,Population,GreenhouseID,Clone,Endo,Tiller_24,Flowering ,date_24,Herbivory_treatment
KER,AGHY,2,15,3025,SJC,2042-04-13,AA,0,5,0,3-7-2024,0
KER,AGHY,3,1,D2_KA3_1,LPEF,207-7-9A,NA,0,3,0,3-7-2024,1
KER,AGHY,3,2,D2_KA3_2,COHR,25,AC,0,11,0,3-7-2024,1
KER,AGHY,3,3,3026,COHR,2-24-5,NA,1,8,0,3-7-2024,1
KER,AGHY,3,4,D2_KA3_4,SJC,211-10-88-AA,AA,0,8,0,3-7-2024,1
KER,AGHY,3,5,3028,COHR,2-24-6,NA,1,5,0,3-7-2024,1
KER,AGHY,3,6,D2_KA3_6,COHR,47,AA,0,9,0,3-7-2024,1
KER,AGHY,3,7,D2_KA3_7,SJC,134-9-2,NA,1,4,0,3-7-2024,1
KER,AGHY,3,8,3029,SJC,134-9-3,NA,1,15,0,3-7-2024,1
KER,AGHY,3,9,3032,SJC,2042-04-04,AA,0,12,0,3-7-2024,1
KER,AGHY,3,10,3030,COHR,23,AB,0,7,0,3-7-2024,1
KER,AGHY,3,11,3031,SJC,42-4-101,NA,0,6,0,3-7-2024,1
KER,AGHY,3,12,D2_KA3_12,SJC,211-10-64,NA,0,12,0,3-7-2024,1
KER,AGHY,3,13,3027,LPEF,2024-04-09,NA,1,9,0,3-7-2024,1
KER,AGHY,3,14,3033,COHR,2-24-4,NA,1,7,0,3-7-2024,1
KER,AGHY,3,15,D2_KA3_15,COHR,14B,AA,0,12,0,3-7-2024,1
